,Year,value,indicator,Country Code,Country Name,Region,Income Group,Lending Type
32,2019,4.7911236649,NY.ADJ.NNTY.KD.ZG,BHS,"Bahamas, The",Latin America & Caribbean ,High income,Not classified
33,2020,-24.9274131954,NY.ADJ.NNTY.KD.ZG,BHS,"Bahamas, The",Latin America & Caribbean ,High income,Not classified
34,2016,6.0020277,NY.ADJ.NNTY.KD.ZG,BHR,Bahrain,Middle East & North Africa,High income,Not classified
35,2017,4.8775797798,NY.ADJ.NNTY.KD.ZG,BHR,Bahrain,Middle East & North Africa,High income,Not classified
36,2018,-1.3140980707,NY.ADJ.NNTY.KD.ZG,BHR,Bahrain,Middle East & North Africa,High income,Not classified
37,2019,2.2456694263,NY.ADJ.NNTY.KD.ZG,BHR,Bahrain,Middle East & North Africa,High income,Not classified
38,2020,-9.2058547449,NY.ADJ.NNTY.KD.ZG,BHR,Bahrain,Middle East & North Africa,High income,Not classified
39,2016,-9.8190651314,NY.ADJ.NNTY.KD.ZG,BGD,Bangladesh,South Asia,Lower middle income,IDA
40,2017,6.1004159859,NY.ADJ.NNTY.KD.ZG,BGD,Bangladesh,South Asia,Lower middle income,IDA
41,2018,9.4561149973,NY.ADJ.NNTY.KD.ZG,BGD,Bangladesh,South Asia,Lower middle income,IDA
42,2019,15.2177442031,NY.ADJ.NNTY.KD.ZG,BGD,Bangladesh,South Asia,Lower middle income,IDA
43,2020,5.0142871203,NY.ADJ.NNTY.KD.ZG,BGD,Bangladesh,South Asia,Lower middle income,IDA
44,2016,-5.6634113189,NY.ADJ.NNTY.KD.ZG,BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD
45,2017,4.0026504085,NY.ADJ.NNTY.KD.ZG,BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD
46,2018,6.3036425449,NY.ADJ.NNTY.KD.ZG,BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD
47,2019,2.877074594,NY.ADJ.NNTY.KD.ZG,BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD
48,2020,-3.937644678,NY.ADJ.NNTY.KD.ZG,BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD
49,2016,1.4274555287,NY.ADJ.NNTY.KD.ZG,BEL,Belgium,Europe & Central Asia,High income,Not classified
50,2017,1.1265696840000001,NY.ADJ.NNTY.KD.ZG,BEL,Belgium,Europe & Central Asia,High income,Not classified
51,2018,1.3964910925,NY.ADJ.NNTY.KD.ZG,BEL,Belgium,Europe & Central Asia,High income,Not classified
52,2019,2.7420115427000002,NY.ADJ.NNTY.KD.ZG,BEL,Belgium,Europe & Central Asia,High income,Not classified
53,2020,-6.9819974712,NY.ADJ.NNTY.KD.ZG,BEL,Belgium,Europe & Central Asia,High income,Not classified
54,2016,0.31584393120000004,NY.ADJ.NNTY.KD.ZG,BLZ,Belize,Latin America & Caribbean ,Upper middle income,IBRD
55,2017,2.5595963125,NY.ADJ.NNTY.KD.ZG,BLZ,Belize,Latin America & Caribbean ,Upper middle income,IBRD
56,2018,-4.5221842255,NY.ADJ.NNTY.KD.ZG,BLZ,Belize,Latin America & Caribbean ,Upper middle income,IBRD
57,2019,4.4402676576,NY.ADJ.NNTY.KD.ZG,BLZ,Belize,Latin America & Caribbean ,Upper middle income,IBRD
58,2020,-12.1428806984,NY.ADJ.NNTY.KD.ZG,BLZ,Belize,Latin America & Caribbean ,Upper middle income,IBRD
59,2016,4.5087382646,NY.ADJ.NNTY.KD.ZG,BEN,Benin,Sub-Saharan Africa ,Lower middle income,IDA
60,2017,3.6991651726,NY.ADJ.NNTY.KD.ZG,BEN,Benin,Sub-Saharan Africa ,Lower middle income,IDA
61,2018,6.2914302156,NY.ADJ.NNTY.KD.ZG,BEN,Benin,Sub-Saharan Africa ,Lower middle income,IDA
62,2019,7.9956234551000005,NY.ADJ.NNTY.KD.ZG,BEN,Benin,Sub-Saharan Africa ,Lower middle income,IDA
63,2020,2.9917715909,NY.ADJ.NNTY.KD.ZG,BEN,Benin,Sub-Saharan Africa ,Lower middle income,IDA
64,2016,6.551783564,NY.ADJ.NNTY.KD.ZG,BTN,Bhutan,South Asia,Lower middle income,IDA
65,2017,5.9037672647,NY.ADJ.NNTY.KD.ZG,BTN,Bhutan,South Asia,Lower middle income,IDA
66,2018,4.0665266866,NY.ADJ.NNTY.KD.ZG,BTN,Bhutan,South Asia,Lower middle income,IDA
67,2019,5.4028552902,NY.ADJ.NNTY.KD.ZG,BTN,Bhutan,South Asia,Lower middle income,IDA
68,2020,-8.0608492486,NY.ADJ.NNTY.KD.ZG,BTN,Bhutan,South Asia,Lower middle income,IDA
69,2016,4.7978571619,NY.ADJ.NNTY.KD.ZG,BOL,Bolivia,Latin America & Caribbean ,Lower middle income,IBRD
70,2017,4.501789647,NY.ADJ.NNTY.KD.ZG,BOL,Bolivia,Latin America & Caribbean ,Lower middle income,IBRD
71,2018,4.7875506833,NY.ADJ.NNTY.KD.ZG,BOL,Bolivia,Latin America & Caribbean ,Lower middle income,IBRD
72,2019,3.1589338033,NY.ADJ.NNTY.KD.ZG,BOL,Bolivia,Latin America & Caribbean ,Lower middle income,IBRD
73,2020,-9.0751372284,NY.ADJ.NNTY.KD.ZG,BOL,Bolivia,Latin America & Caribbean ,Lower middle income,IBRD
74,2016,5.6814778783,NY.ADJ.NNTY.KD.ZG,BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,IBRD
75,2017,3.4805342645,NY.ADJ.NNTY.KD.ZG,BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,IBRD
76,2018,3.9739300028,NY.ADJ.NNTY.KD.ZG,BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,IBRD
77,2019,4.3630299364,NY.ADJ.NNTY.KD.ZG,BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,IBRD
78,2020,-3.7542875251,NY.ADJ.NNTY.KD.ZG,BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,IBRD
79,2016,15.4993841692,NY.ADJ.NNTY.KD.ZG,BWA,Botswana,Sub-Saharan Africa ,Upper middle income,IBRD
80,2017,-2.5411330956000002,NY.ADJ.NNTY.KD.ZG,BWA,Botswana,Sub-Saharan Africa ,Upper middle income,IBRD
81,2018,-0.1584713845,NY.ADJ.NNTY.KD.ZG,BWA,Botswana,Sub-Saharan Africa ,Upper middle income,IBRD
82,2019,0.122305568,NY.ADJ.NNTY.KD.ZG,BWA,Botswana,Sub-Saharan Africa ,Upper middle income,IBRD
83,2020,-2.3410934781,NY.ADJ.NNTY.KD.ZG,BWA,Botswana,Sub-Saharan Africa ,Upper middle income,IBRD
84,2016,-3.308105278,NY.ADJ.NNTY.KD.ZG,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
85,2017,1.4080681133000001,NY.ADJ.NNTY.KD.ZG,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
86,2018,0.08306622100000001,NY.ADJ.NNTY.KD.ZG,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
87,2019,1.5677050983,NY.ADJ.NNTY.KD.ZG,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
88,2020,-4.2058934112,NY.ADJ.NNTY.KD.ZG,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
89,2016,-4.2344051438,NY.ADJ.NNTY.KD.ZG,BRN,Brunei Darussalam,East Asia & Pacific,High income,Not classified
90,2017,2.4401301822,NY.ADJ.NNTY.KD.ZG,BRN,Brunei Darussalam,East Asia & Pacific,High income,Not classified
91,2018,-4.6253075562,NY.ADJ.NNTY.KD.ZG,BRN,Brunei Darussalam,East Asia & Pacific,High income,Not classified
92,2019,6.0088377977,NY.ADJ.NNTY.KD.ZG,BRN,Brunei Darussalam,East Asia & Pacific,High income,Not classified
93,2020,-8.747747975,NY.ADJ.NNTY.KD.ZG,BRN,Brunei Darussalam,East Asia & Pacific,High income,Not classified
94,2016,5.2255258011,NY.ADJ.NNTY.KD.ZG,BGR,Bulgaria,Europe & Central Asia,Upper middle income,IBRD
95,2017,4.1017827711,NY.ADJ.NNTY.KD.ZG,BGR,Bulgaria,Europe & Central Asia,Upper middle income,IBRD
96,2018,1.9214869177,NY.ADJ.NNTY.KD.ZG,BGR,Bulgaria,Europe & Central Asia,Upper middle income,IBRD
97,2019,6.3853832631,NY.ADJ.NNTY.KD.ZG,BGR,Bulgaria,Europe & Central Asia,Upper middle income,IBRD
98,2020,-0.4939412769,NY.ADJ.NNTY.KD.ZG,BGR,Bulgaria,Europe & Central Asia,Upper middle income,IBRD
99,2016,8.4593445216,NY.ADJ.NNTY.KD.ZG,BFA,Burkina Faso,Sub-Saharan Africa ,Low income,IDA
100,2017,6.4699865125,NY.ADJ.NNTY.KD.ZG,BFA,Burkina Faso,Sub-Saharan Africa ,Low income,IDA
101,2018,7.7877394992,NY.ADJ.NNTY.KD.ZG,BFA,Burkina Faso,Sub-Saharan Africa ,Low income,IDA
102,2019,6.4130958356,NY.ADJ.NNTY.KD.ZG,BFA,Burkina Faso,Sub-Saharan Africa ,Low income,IDA
103,2016,-4.8227621155,NY.ADJ.NNTY.KD.ZG,BDI,Burundi,Sub-Saharan Africa ,Low income,IDA
104,2017,-1.6279824794,NY.ADJ.NNTY.KD.ZG,BDI,Burundi,Sub-Saharan Africa ,Low income,IDA
105,2018,7.9675696429,NY.ADJ.NNTY.KD.ZG,BDI,Burundi,Sub-Saharan Africa ,Low income,IDA
106,2019,4.5934345036,NY.ADJ.NNTY.KD.ZG,BDI,Burundi,Sub-Saharan Africa ,Low income,IDA
107,2020,3.7890834391,NY.ADJ.NNTY.KD.ZG,BDI,Burundi,Sub-Saharan Africa ,Low income,IDA
108,2016,5.1031580738,NY.ADJ.NNTY.KD.ZG,CPV,Cabo Verde,Sub-Saharan Africa ,Lower middle income,Blend
109,2017,3.474476017,NY.ADJ.NNTY.KD.ZG,CPV,Cabo Verde,Sub-Saharan Africa ,Lower middle income,Blend
110,2018,6.0758689702,NY.ADJ.NNTY.KD.ZG,CPV,Cabo Verde,Sub-Saharan Africa ,Lower middle income,Blend
111,2019,5.8653000139,NY.ADJ.NNTY.KD.ZG,CPV,Cabo Verde,Sub-Saharan Africa ,Lower middle income,Blend
112,2020,-16.3324373411,NY.ADJ.NNTY.KD.ZG,CPV,Cabo Verde,Sub-Saharan Africa ,Lower middle income,Blend
113,2016,7.6153085893,NY.ADJ.NNTY.KD.ZG,KHM,Cambodia,East Asia & Pacific,Lower middle income,IDA
114,2017,7.2103917361,NY.ADJ.NNTY.KD.ZG,KHM,Cambodia,East Asia & Pacific,Lower middle income,IDA
115,2018,10.4172350966,NY.ADJ.NNTY.KD.ZG,KHM,Cambodia,East Asia & Pacific,Lower middle income,IDA
116,2019,9.7790516267,NY.ADJ.NNTY.KD.ZG,KHM,Cambodia,East Asia & Pacific,Lower middle income,IDA
117,2020,-2.6138675154,NY.ADJ.NNTY.KD.ZG,KHM,Cambodia,East Asia & Pacific,Lower middle income,IDA
118,2016,5.5789380436,NY.ADJ.NNTY.KD.ZG,CMR,Cameroon,Sub-Saharan Africa ,Lower middle income,Blend
119,2017,2.9617733792000003,NY.ADJ.NNTY.KD.ZG,CMR,Cameroon,Sub-Saharan Africa ,Lower middle income,Blend
120,2018,4.8086528101,NY.ADJ.NNTY.KD.ZG,CMR,Cameroon,Sub-Saharan Africa ,Lower middle income,Blend
121,2019,4.8950976548,NY.ADJ.NNTY.KD.ZG,CMR,Cameroon,Sub-Saharan Africa ,Lower middle income,Blend
122,2020,1.7502974946,NY.ADJ.NNTY.KD.ZG,CMR,Cameroon,Sub-Saharan Africa ,Lower middle income,Blend
123,2016,0.9252411420000001,NY.ADJ.NNTY.KD.ZG,CAN,Canada,North America,High income,Not classified
124,2017,5.2021904569,NY.ADJ.NNTY.KD.ZG,CAN,Canada,North America,High income,Not classified
125,2018,1.5313319072,NY.ADJ.NNTY.KD.ZG,CAN,Canada,North America,High income,Not classified
126,2019,2.5892052146999998,NY.ADJ.NNTY.KD.ZG,CAN,Canada,North America,High income,Not classified
127,2020,-6.9163704351,NY.ADJ.NNTY.KD.ZG,CAN,Canada,North America,High income,Not classified
128,2016,14.4665572008,NY.ADJ.NNTY.KD.ZG,CAF,Central African Republic,Sub-Saharan Africa ,Low income,IDA
129,2017,-3.8799354382,NY.ADJ.NNTY.KD.ZG,CAF,Central African Republic,Sub-Saharan Africa ,Low income,IDA
130,2018,23.4886311677,NY.ADJ.NNTY.KD.ZG,CAF,Central African Republic,Sub-Saharan Africa ,Low income,IDA
131,2019,3.6286955835,NY.ADJ.NNTY.KD.ZG,CAF,Central African Republic,Sub-Saharan Africa ,Low income,IDA
132,2020,-4.6451323833,NY.ADJ.NNTY.KD.ZG,CAF,Central African Republic,Sub-Saharan Africa ,Low income,IDA
133,2016,-7.3922975216,NY.ADJ.NNTY.KD.ZG,TCD,Chad,Sub-Saharan Africa ,Low income,IDA
134,2017,-15.2868860118,NY.ADJ.NNTY.KD.ZG,TCD,Chad,Sub-Saharan Africa ,Low income,IDA
135,2018,9.2257775615,NY.ADJ.NNTY.KD.ZG,TCD,Chad,Sub-Saharan Africa ,Low income,IDA
136,2019,4.7081219194,NY.ADJ.NNTY.KD.ZG,TCD,Chad,Sub-Saharan Africa ,Low income,IDA
137,2020,-16.1114145356,NY.ADJ.NNTY.KD.ZG,TCD,Chad,Sub-Saharan Africa ,Low income,IDA
138,2016,0.2422988364,NY.ADJ.NNTY.KD.ZG,CHL,Chile,Latin America & Caribbean ,High income,IBRD
139,2017,0.0872267282,NY.ADJ.NNTY.KD.ZG,CHL,Chile,Latin America & Caribbean ,High income,IBRD
140,2018,0.4672134174,NY.ADJ.NNTY.KD.ZG,CHL,Chile,Latin America & Caribbean ,High income,IBRD
141,2019,2.0003879394,NY.ADJ.NNTY.KD.ZG,CHL,Chile,Latin America & Caribbean ,High income,IBRD
142,2020,-0.9896283495,NY.ADJ.NNTY.KD.ZG,CHL,Chile,Latin America & Caribbean ,High income,IBRD
143,2016,8.2095980223,NY.ADJ.NNTY.KD.ZG,CHN,China,East Asia & Pacific,Upper middle income,IBRD
144,2017,6.8441099652,NY.ADJ.NNTY.KD.ZG,CHN,China,East Asia & Pacific,Upper middle income,IBRD
145,2018,4.0019889588,NY.ADJ.NNTY.KD.ZG,CHN,China,East Asia & Pacific,Upper middle income,IBRD
146,2019,4.6976408151,NY.ADJ.NNTY.KD.ZG,CHN,China,East Asia & Pacific,Upper middle income,IBRD
147,2020,0.0446035906,NY.ADJ.NNTY.KD.ZG,CHN,China,East Asia & Pacific,Upper middle income,IBRD
148,2016,2.7011519189,NY.ADJ.NNTY.KD.ZG,COL,Colombia,Latin America & Caribbean ,Upper middle income,IBRD
149,2017,0.9871806163000001,NY.ADJ.NNTY.KD.ZG,COL,Colombia,Latin America & Caribbean ,Upper middle income,IBRD
150,2018,2.233053651,NY.ADJ.NNTY.KD.ZG,COL,Colombia,Latin America & Caribbean ,Upper middle income,IBRD
151,2019,3.4792117383,NY.ADJ.NNTY.KD.ZG,COL,Colombia,Latin America & Caribbean ,Upper middle income,IBRD
152,2020,-6.5442520932,NY.ADJ.NNTY.KD.ZG,COL,Colombia,Latin America & Caribbean ,Upper middle income,IBRD
153,2016,3.986890248,NY.ADJ.NNTY.KD.ZG,COM,Comoros,Sub-Saharan Africa ,Lower middle income,IDA
154,2017,5.6171297851,NY.ADJ.NNTY.KD.ZG,COM,Comoros,Sub-Saharan Africa ,Lower middle income,IDA
155,2018,4.5099327665,NY.ADJ.NNTY.KD.ZG,COM,Comoros,Sub-Saharan Africa ,Lower middle income,IDA
156,2019,-0.0549521246,NY.ADJ.NNTY.KD.ZG,COM,Comoros,Sub-Saharan Africa ,Lower middle income,IDA
157,2020,19.588005239,NY.ADJ.NNTY.KD.ZG,COM,Comoros,Sub-Saharan Africa ,Lower middle income,IDA
158,2016,8.6406474919,NY.ADJ.NNTY.KD.ZG,COD,"Congo, Dem. Rep.",Sub-Saharan Africa ,Low income,IDA
159,2017,6.9920704812,NY.ADJ.NNTY.KD.ZG,COD,"Congo, Dem. Rep.",Sub-Saharan Africa ,Low income,IDA
160,2018,10.2834289438,NY.ADJ.NNTY.KD.ZG,COD,"Congo, Dem. Rep.",Sub-Saharan Africa ,Low income,IDA
161,2019,20.909988322,NY.ADJ.NNTY.KD.ZG,COD,"Congo, Dem. Rep.",Sub-Saharan Africa ,Low income,IDA
162,2020,3.5381708778,NY.ADJ.NNTY.KD.ZG,COD,"Congo, Dem. Rep.",Sub-Saharan Africa ,Low income,IDA
163,2016,-20.0466857411,NY.ADJ.NNTY.KD.ZG,COG,"Congo, Rep.",Sub-Saharan Africa ,Lower middle income,Blend
164,2017,-28.5202396142,NY.ADJ.NNTY.KD.ZG,COG,"Congo, Rep.",Sub-Saharan Africa ,Lower middle income,Blend
165,2018,-11.8417584734,NY.ADJ.NNTY.KD.ZG,COG,"Congo, Rep.",Sub-Saharan Africa ,Lower middle income,Blend
166,2019,-26.2909711322,NY.ADJ.NNTY.KD.ZG,COG,"Congo, Rep.",Sub-Saharan Africa ,Lower middle income,Blend
167,2016,5.1410872126000005,NY.ADJ.NNTY.KD.ZG,CRI,Costa Rica,Latin America & Caribbean ,Upper middle income,IBRD
168,2017,2.5269000767,NY.ADJ.NNTY.KD.ZG,CRI,Costa Rica,Latin America & Caribbean ,Upper middle income,IBRD
169,2018,1.6476685854,NY.ADJ.NNTY.KD.ZG,CRI,Costa Rica,Latin America & Caribbean ,Upper middle income,IBRD
170,2019,1.7627817664,NY.ADJ.NNTY.KD.ZG,CRI,Costa Rica,Latin America & Caribbean ,Upper middle income,IBRD
171,2020,-3.8751174037,NY.ADJ.NNTY.KD.ZG,CRI,Costa Rica,Latin America & Caribbean ,Upper middle income,IBRD
172,2016,7.5489167661,NY.ADJ.NNTY.KD.ZG,CIV,Cote d'Ivoire,Sub-Saharan Africa ,Lower middle income,IDA
173,2017,6.162328793,NY.ADJ.NNTY.KD.ZG,CIV,Cote d'Ivoire,Sub-Saharan Africa ,Lower middle income,IDA
174,2018,7.6934438861,NY.ADJ.NNTY.KD.ZG,CIV,Cote d'Ivoire,Sub-Saharan Africa ,Lower middle income,IDA
175,2019,5.1589108696,NY.ADJ.NNTY.KD.ZG,CIV,Cote d'Ivoire,Sub-Saharan Africa ,Lower middle income,IDA
176,2020,0.8901692673,NY.ADJ.NNTY.KD.ZG,CIV,Cote d'Ivoire,Sub-Saharan Africa ,Lower middle income,IDA
177,2016,1.6103194772,NY.ADJ.NNTY.KD.ZG,HRV,Croatia,Europe & Central Asia,High income,IBRD
178,2017,5.4854523842,NY.ADJ.NNTY.KD.ZG,HRV,Croatia,Europe & Central Asia,High income,IBRD
179,2018,3.5475991879,NY.ADJ.NNTY.KD.ZG,HRV,Croatia,Europe & Central Asia,High income,IBRD
180,2019,4.1726094738,NY.ADJ.NNTY.KD.ZG,HRV,Croatia,Europe & Central Asia,High income,IBRD
181,2020,-6.068851732,NY.ADJ.NNTY.KD.ZG,HRV,Croatia,Europe & Central Asia,High income,IBRD
182,2016,3.4045742025,NY.ADJ.NNTY.KD.ZG,CUB,Cuba,Latin America & Caribbean ,Upper middle income,Not classified
183,2017,1.4501779125,NY.ADJ.NNTY.KD.ZG,CUB,Cuba,Latin America & Caribbean ,Upper middle income,Not classified
184,2018,1.0721315742,NY.ADJ.NNTY.KD.ZG,CUB,Cuba,Latin America & Caribbean ,Upper middle income,Not classified
185,2016,4.6693562316,NY.ADJ.NNTY.KD.ZG,CYP,Cyprus,Europe & Central Asia,High income,Not classified
186,2017,7.7162828191,NY.ADJ.NNTY.KD.ZG,CYP,Cyprus,Europe & Central Asia,High income,Not classified
187,2018,4.6364979564,NY.ADJ.NNTY.KD.ZG,CYP,Cyprus,Europe & Central Asia,High income,Not classified
188,2019,3.4944326742,NY.ADJ.NNTY.KD.ZG,CYP,Cyprus,Europe & Central Asia,High income,Not classified
189,2020,-7.9118114503,NY.ADJ.NNTY.KD.ZG,CYP,Cyprus,Europe & Central Asia,High income,Not classified
190,2016,3.4694323257,NY.ADJ.NNTY.KD.ZG,CZE,Czechia,Europe & Central Asia,High income,Not classified
191,2017,6.2817947164,NY.ADJ.NNTY.KD.ZG,CZE,Czechia,Europe & Central Asia,High income,Not classified
192,2018,3.4470389778,NY.ADJ.NNTY.KD.ZG,CZE,Czechia,Europe & Central Asia,High income,Not classified
193,2019,2.4021115992,NY.ADJ.NNTY.KD.ZG,CZE,Czechia,Europe & Central Asia,High income,Not classified
194,2020,-3.4379591467,NY.ADJ.NNTY.KD.ZG,CZE,Czechia,Europe & Central Asia,High income,Not classified
195,2016,2.4423588814,NY.ADJ.NNTY.KD.ZG,DNK,Denmark,Europe & Central Asia,High income,Not classified
196,2017,2.4632781664,NY.ADJ.NNTY.KD.ZG,DNK,Denmark,Europe & Central Asia,High income,Not classified
197,2018,2.2648923091,NY.ADJ.NNTY.KD.ZG,DNK,Denmark,Europe & Central Asia,High income,Not classified
198,2019,2.3893350982,NY.ADJ.NNTY.KD.ZG,DNK,Denmark,Europe & Central Asia,High income,Not classified
199,2020,-0.7518150295,NY.ADJ.NNTY.KD.ZG,DNK,Denmark,Europe & Central Asia,High income,Not classified
200,2016,3.1352271065,NY.ADJ.NNTY.KD.ZG,DJI,Djibouti,Middle East & North Africa,Lower middle income,IDA
201,2017,1.8829005081,NY.ADJ.NNTY.KD.ZG,DJI,Djibouti,Middle East & North Africa,Lower middle income,IDA
202,2018,14.4536750459,NY.ADJ.NNTY.KD.ZG,DJI,Djibouti,Middle East & North Africa,Lower middle income,IDA
203,2019,12.0574937445,NY.ADJ.NNTY.KD.ZG,DJI,Djibouti,Middle East & North Africa,Lower middle income,IDA
204,2020,0.7922260159000001,NY.ADJ.NNTY.KD.ZG,DJI,Djibouti,Middle East & North Africa,Lower middle income,IDA
205,2016,7.1996815702,NY.ADJ.NNTY.KD.ZG,DOM,Dominican Republic,Latin America & Caribbean ,Upper middle income,IBRD
206,2017,2.1598424451,NY.ADJ.NNTY.KD.ZG,DOM,Dominican Republic,Latin America & Caribbean ,Upper middle income,IBRD
207,2018,5.44846318,NY.ADJ.NNTY.KD.ZG,DOM,Dominican Republic,Latin America & Caribbean ,Upper middle income,IBRD
208,2019,5.5596819409,NY.ADJ.NNTY.KD.ZG,DOM,Dominican Republic,Latin America & Caribbean ,Upper middle income,IBRD
209,2020,-6.9643231165,NY.ADJ.NNTY.KD.ZG,DOM,Dominican Republic,Latin America & Caribbean ,Upper middle income,IBRD
210,2016,-2.3725637693,NY.ADJ.NNTY.KD.ZG,ECU,Ecuador,Latin America & Caribbean ,Upper middle income,IBRD
211,2017,2.8616578961,NY.ADJ.NNTY.KD.ZG,ECU,Ecuador,Latin America & Caribbean ,Upper middle income,IBRD
212,2018,-1.0823407925,NY.ADJ.NNTY.KD.ZG,ECU,Ecuador,Latin America & Caribbean ,Upper middle income,IBRD
213,2019,-0.8545291365000001,NY.ADJ.NNTY.KD.ZG,ECU,Ecuador,Latin America & Caribbean ,Upper middle income,IBRD
214,2020,-9.930889176,NY.ADJ.NNTY.KD.ZG,ECU,Ecuador,Latin America & Caribbean ,Upper middle income,IBRD
215,2016,4.3772217162,NY.ADJ.NNTY.KD.ZG,EGY,"Egypt, Arab Rep.",Middle East & North Africa,Lower middle income,IBRD
216,2017,-1.4796092871,NY.ADJ.NNTY.KD.ZG,EGY,"Egypt, Arab Rep.",Middle East & North Africa,Lower middle income,IBRD
217,2018,4.1222723221,NY.ADJ.NNTY.KD.ZG,EGY,"Egypt, Arab Rep.",Middle East & North Africa,Lower middle income,IBRD
